gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Length
SLC39A10,,,,,,,,,,,,,,,,,,,,,,17.131,weak,0.941,48.922,good,0.9990000000000001,53.085,good,0.9940000000000001,831
SLC39A14,,,,,,,,,,,,,42.049,weak,0.9420000000000001,27.022,good,0.987,,,,,,,,,,,,,492
SLC39A7,,,,,,,,,,,,,,,,,,,,,,81.387,weak,0.9690000000000001,99.39299999999999,good,0.9990000000000001,111.51899999999999,weak,0.9990000000000001,469
SLC3A2,23.081999999999997,good,0.987,27.41,good,0.98,80.09899999999999,weak,0.98,73.32300000000001,good,0.9540000000000001,59.661,good,0.9740000000000001,52.032,good,0.991,27.862,good,0.924,24.377,good,0.9440000000000001,47.122,good,0.998,51.51,good,0.996,630
SLC43A2,,,,,,,,,,,,,,,,,,,,,,18.537,good,0.945,,,,40.537,weak,0.997,569
SLC44A1,,,,,,,,,,,,,29.424,good,0.995,29.611,good,1.0,,,,110.898,weak,0.985,,,,88.024,weak,0.997,657
SLC44A2,82.882,weak,0.977,79.025,weak,0.995,,,,152.58100000000002,weak,0.9840000000000001,,,,,,,,,,,,,,,,,,,706
SLC4A1,,,,330.79699999999997,weak,0.963,,,,,,,,,,,,,,,,,,,,,,,,,911
SLC4A1AP,39.94,weak,0.9790000000000001,42.832,good,0.9990000000000001,92.573,good,0.9990000000000001,85.28,good,0.997,54.321999999999996,weak,0.966,41.218999999999994,weak,0.978,30.793000000000003,weak,0.993,27.553,good,0.985,,,,26.823,good,0.9740000000000001,796
SLC4A2,,,,72.902,weak,0.9309999999999999,,,,,,,26.206999999999997,good,0.968,22.349,good,0.9840000000000001,41.077,weak,0.9890000000000001,46.77,weak,0.986,,,,,,,1241
SLC7A1,,,,10.022,weak,0.973,,,,,,,,,,,,,,,,,,,31.403000000000002,weak,0.987,25.464000000000002,good,0.9990000000000001,629
SLC7A5,17.721,weak,0.987,,,,,,,,,,,,,,,,,,,,,,48.122,good,0.998,57.251000000000005,good,0.996,507
SLC7A6,,,,,,,,,,,,,76.98100000000001,weak,0.953,73.485,weak,0.938,,,,,,,,,,,,,515
SLC7A6OS,,,,36.538000000000004,weak,0.995,51.224,weak,0.987,44.038999999999994,weak,1.0,,,,,,,,,,,,,19.639,weak,0.973,17.766,weak,0.978,309
SLC9A3R1,135.879,good,0.998,145.089,good,0.996,183.55200000000002,good,0.998,177.828,good,0.998,43.1,good,0.997,50.455,good,0.986,203.075,good,0.9840000000000001,186.533,good,0.98,79.493,good,0.993,161.303,good,0.98,358
SLC9A7,,,,,,,,,,,,,,,,62.974,weak,0.899,,,,,,,,,,33.944,good,0.993,725
SLC9B2,,,,,,,,,,,,,45.141999999999996,weak,0.998,38.81,good,0.9890000000000001,,,,,,,,,,,,,537
SLFN5,149.863,weak,0.995,,,,146.751,good,0.996,141.852,good,0.998,,,,,,,73.999,weak,0.976,57.29600000000001,good,0.986,,,,,,,891
SLFN5,149.863,weak,0.995,,,,146.751,good,0.996,141.852,good,0.998,,,,,,,73.999,weak,0.976,57.29600000000001,good,0.986,,,,,,,588
SLIRP,77.227,weak,0.976,79.77600000000001,good,0.9590000000000001,,,,,,,65.54,good,0.998,59.736000000000004,good,0.99,74.27600000000001,weak,0.977,54.763000000000005,good,0.992,59.736999999999995,weak,0.9790000000000001,61.951,good,0.996,109
SLK,69.828,weak,0.996,83.652,good,0.995,209.248,good,0.9009999999999999,197.024,good,0.981,,,,,,,81.875,good,0.955,72.26,good,0.993,50.755,good,0.985,68.128,good,0.991,1235
SLMAP,84.3,weak,0.935,,,,,,,,,,76.333,good,0.997,55.076,good,0.9790000000000001,190.74599999999998,good,0.935,118.421,weak,0.946,40.216,good,0.998,44.153999999999996,good,0.997,828
SLU7,28.669,weak,0.992,,,,30.171,weak,0.997,31.774,weak,0.9990000000000001,,,,15.787,weak,0.951,,,,,,,,,,21.285,weak,0.9690000000000001,586
SMAD2,,,,38.527,weak,0.929,,,,,,,,,,,,,40.179,weak,0.99,34.922,weak,0.9840000000000001,28.549,weak,0.9940000000000001,31.378,good,0.973,467
SMAD3,37.711,weak,0.995,43.7,weak,0.997,,,,,,,,,,,,,,,,52.128,weak,0.9329999999999999,,,,,,,425
SMAD4,,,,,,,,,,,,,,,,,,,,,,,,,27.205,weak,0.945,34.814,weak,0.982,552
SMAGP,,,,,,,,,,,,,,,,56.357,weak,0.981,,,,,,,,,,,,,97
SMAP2,39.214,good,0.9940000000000001,46.398999999999994,good,0.998,70.054,good,0.996,66.67,good,0.9990000000000001,46.077,weak,0.91,,,,34.745,weak,0.996,,,,26.601999999999997,good,0.996,33.094,good,0.998,429
SMAP2,39.214,good,0.9940000000000001,46.398999999999994,good,0.998,70.054,good,0.996,66.67,good,0.9990000000000001,46.077,weak,0.91,,,,34.745,weak,0.996,,,,26.601999999999997,good,0.996,33.094,good,0.998,446
SMARCA1,,,,,,,,,,,,,18.587,good,0.9390000000000001,17.186,good,0.93,,,,,,,27.908,good,0.99,25.874000000000002,good,0.996,1054
SMARCA2,83.815,good,0.99,99.978,good,0.9990000000000001,125.01899999999999,good,0.988,122.24700000000001,good,0.9940000000000001,27.215999999999998,good,0.981,25.695999999999998,good,0.9990000000000001,64.188,weak,0.993,59.42100000000001,good,0.995,26.025,good,0.9990000000000001,26.112,good,0.998,1590
SMARCA4,63.534,good,0.985,70.60600000000001,good,0.998,138.722,good,0.9990000000000001,119.9,good,0.988,25.294,good,0.982,22.718000000000004,good,0.998,59.845,good,0.991,46.016000000000005,good,0.995,39.468,good,0.995,42.958999999999996,good,0.99,1647
SMARCA5,67.093,good,0.9890000000000001,69.18,good,0.9990000000000001,134.608,good,0.992,109.955,good,0.996,20.409000000000002,good,0.973,20.305999999999997,good,0.975,59.659,good,0.99,48.275,good,0.9890000000000001,62.481,good,0.991,68.285,good,0.9940000000000001,1052
SMARCAD1,19.024,weak,0.996,,,,,,,,,,,,,,,,,,,,,,21.375,weak,0.9790000000000001,25.379,good,0.983,1026
SMARCAL1,66.238,weak,0.9940000000000001,64.13600000000001,good,0.997,106.68,weak,0.879,98.46600000000001,weak,0.98,,,,,,,45.446000000000005,weak,0.982,49.233999999999995,weak,0.982,19.094,weak,0.95,16.851,weak,0.986,954
SMARCB1,100.803,weak,0.986,102.131,weak,0.973,,,,244.65599999999998,weak,0.971,34.62,weak,1.0,34.509,weak,0.997,79.935,weak,0.981,78.86,weak,0.985,52.828,good,0.971,58.037,good,0.995,385
SMARCC1,45.803999999999995,good,0.99,52.143,good,0.996,214.799,weak,0.976,168.792,weak,0.938,28.184,good,0.995,23.554000000000002,good,0.9840000000000001,101.43,good,0.9690000000000001,77.609,weak,0.973,39.302,good,0.993,45.924,good,0.988,1105
SMARCC2,179.794,good,0.993,,,,288.186,good,0.998,,,,43.961999999999996,good,0.998,44.206,good,0.9990000000000001,109.015,weak,0.9390000000000001,95.221,good,0.992,53.476000000000006,good,0.998,62.211999999999996,good,0.998,1214
SMARCD1,76.322,weak,0.985,95.234,weak,0.972,,,,214.91,weak,0.9129999999999999,,,,53.227,weak,0.9159999999999999,70.017,weak,0.899,,,,54.915,good,0.996,60.223,good,0.993,515
SMARCD2,101.581,good,0.884,,,,,,,165.56400000000002,good,0.9790000000000001,40.479,good,0.966,45.885,good,0.955,88.68700000000001,good,0.983,66.516,good,0.8740000000000001,,,,,,,531
SMARCE1,105.45299999999999,good,0.978,92.73,good,0.998,155.822,good,0.996,149.756,good,0.9890000000000001,63.63,weak,0.846,71.375,good,0.9490000000000001,87.34700000000001,good,0.99,78.57300000000001,good,0.991,59.31,good,1.0,72.359,good,0.9990000000000001,411
SMC1A,143.685,good,0.993,146.55200000000002,good,0.9990000000000001,362.837,good,0.9990000000000001,270.17400000000004,good,0.998,50.958,good,0.996,49.225,good,0.997,103.211,good,0.992,90.71700000000001,good,0.991,44.983999999999995,good,0.998,51.946000000000005,good,0.997,1233
SMC2,,,,18.847,weak,0.99,,,,,,,,,,,,,139.054,weak,0.945,,,,87.475,good,0.963,109.537,good,0.9420000000000001,1197
SMC3,154.761,good,0.995,151.534,good,0.9990000000000001,313.626,good,1.0,263.361,good,0.998,67.903,good,0.997,67.844,good,0.971,117.882,good,0.992,101.42399999999999,good,0.986,47.516000000000005,good,0.998,55.085,good,0.996,1217
SMC4,,,,19.007,good,0.9940000000000001,80.634,weak,0.9740000000000001,44.106,weak,0.87,,,,,,,,,,,,,83.919,good,0.9840000000000001,97.926,good,0.955,1288
SMC5,70.89699999999999,good,0.997,85.624,good,1.0,118.29899999999999,weak,0.998,100.708,weak,0.99,26.849,weak,0.992,38.138000000000005,weak,0.9209999999999999,56.287,weak,0.985,44.32899999999999,weak,0.982,30.874000000000002,weak,0.992,30.828000000000003,good,0.9940000000000001,1101
SMC6,74.497,good,0.986,82.223,good,0.998,,,,159.303,weak,0.9390000000000001,20.236,weak,0.981,19.448,weak,0.973,,,,,,,40.854,weak,0.907,,,,1091
SMCHD1,74.005,good,0.985,78.626,good,0.997,128.23,good,0.996,108.302,good,0.998,28.11,good,0.983,25.006,good,0.991,75.47399999999999,good,0.9890000000000001,61.371,good,0.987,38.584,good,0.997,42.599,good,0.996,2005
SMEK1,56.871,good,0.996,60.398,good,0.988,129.721,good,0.993,109.824,good,1.0,46.872,weak,0.976,43.489,good,0.975,57.247,good,0.995,43.788000000000004,good,0.9890000000000001,,,,,,,833
SMEK2,12.913,weak,0.991,15.198,weak,0.995,,,,,,,18.874000000000002,weak,0.982,19.299,weak,0.955,28.699,weak,0.953,,,,,,,,,,849
SMG1,48.611000000000004,good,0.992,51.489,good,0.976,,,,86.676,weak,0.938,,,,,,,55.123000000000005,good,0.992,46.672,weak,0.9790000000000001,49.486999999999995,good,0.992,56.215,good,0.965,3661
SMG5,,,,42.677,weak,0.995,,,,,,,,,,,,,47.458999999999996,weak,0.963,,,,,,,49.285,weak,0.98,1016
SMG6,,,,36.765,weak,0.9890000000000001,43.574,weak,0.9229999999999999,,,,,,,,,,,,,,,,18.727,weak,0.997,23.936,good,0.996,1419
SMG7,37.773,weak,0.971,36.333,weak,1.0,,,,73.60600000000001,weak,0.9740000000000001,,,,,,,60.794,weak,0.986,,,,20.454,weak,0.9840000000000001,22.622,weak,0.98,1137
SMG8,,,,70.214,weak,0.995,,,,,,,,,,,,,60.477,weak,0.988,,,,,,,,,,991
SMG9,53.12,weak,0.986,55.628,weak,0.9890000000000001,,,,40.726,weak,0.9209999999999999,,,,,,,40.217,weak,0.966,,,,,,,81.726,weak,0.998,520
SMIM20,,,,175.06099999999998,weak,1.0,,,,,,,87.861,weak,1.0,86.95700000000001,weak,0.99,,,,,,,,,,77.667,weak,0.878,67
SMN1,,,,,,,110.789,weak,1.0,,,,,,,,,,,,,,,,,,,,,,294
SMNDC1,83.426,good,0.9940000000000001,73.911,weak,0.9490000000000001,192.826,weak,0.9940000000000001,157.017,weak,0.986,21.316999999999997,weak,0.992,18.698,weak,0.985,,,,,,,24.441999999999997,good,0.9990000000000001,25.46,good,0.998,238
SMPD2,,,,137.841,weak,0.9890000000000001,,,,,,,,,,,,,,,,,,,60.46,weak,0.9990000000000001,66.395,good,0.997,423
SMPD4,78.722,weak,0.978,,,,233.75599999999997,weak,0.972,213.726,weak,0.9670000000000001,70.775,good,0.992,65.85,good,0.993,103.96600000000001,weak,0.977,,,,41.661,good,0.995,45.269,good,0.992,866
SMS,75.653,good,0.972,100.59200000000001,weak,0.9279999999999999,,,,480.01199999999994,weak,0.938,,,,,,,84.363,weak,0.887,59.287,good,0.9570000000000001,56.18899999999999,good,1.0,65.569,good,1.0,366
SMU1,60.857,good,0.991,71.374,good,0.998,157.459,good,0.995,141.789,good,0.993,32.329,good,0.996,30.587,good,0.986,49.827,good,0.992,44.056999999999995,good,0.9890000000000001,48.20399999999999,good,0.996,49.263999999999996,good,0.9990000000000001,513
SMUG1,,,,12.988,weak,0.968,,,,,,,,,,,,,,,,,,,,,,,,,270
SMYD3,,,,,,,,,,,,,,,,,,,140.91299999999998,weak,0.988,,,,,,,,,,428
SMYD5,108.669,weak,0.9840000000000001,50.745,weak,0.866,,,,,,,,,,,,,,,,,,,,,,,,,418
SNAP23,41.021,good,0.996,44.872,good,0.991,95.432,good,0.993,57.895,weak,0.953,37.609,good,0.982,35.156,good,0.995,68.594,good,0.983,49.882,good,0.996,61.555,weak,0.995,83.051,weak,0.9670000000000001,211
SNAP29,45.801,good,0.993,47.295,weak,0.986,93.773,good,0.99,68.692,good,0.998,37.411,good,0.996,41.431000000000004,good,0.997,39.524,good,0.993,34.823,good,0.987,32.243,good,0.9990000000000001,42.226000000000006,good,0.9990000000000001,258
SNAPIN,142.665,weak,0.9940000000000001,154.641,weak,0.995,,,,279.663,weak,0.922,88.14399999999999,weak,0.988,78.81,weak,0.965,73.423,weak,0.997,62.428000000000004,weak,0.9940000000000001,,,,74.296,weak,0.92,136
SND1,49.347,good,0.97,63.138999999999996,good,0.995,186.903,good,0.998,133.86700000000002,good,0.992,73.58,good,0.998,73.043,good,0.995,67.078,good,0.985,53.403999999999996,good,0.986,41.153,good,1.0,49.458999999999996,good,0.9990000000000001,910
SNF8,76.758,weak,0.987,105.755,good,0.935,,,,,,,,,,,,,,,,75.482,weak,0.991,68.535,good,0.997,88.616,good,0.998,258
SNIP1,,,,58.513000000000005,weak,0.995,,,,72.359,weak,0.905,27.898000000000003,weak,0.996,,,,,,,,,,,,,57.093999999999994,good,0.903,396
SNRNP200,69.295,good,0.99,78.96600000000001,good,0.9990000000000001,159.89,good,0.9990000000000001,155.958,good,1.0,41.321000000000005,good,1.0,42.284,good,0.998,61.391000000000005,good,0.991,51.538000000000004,good,0.992,42.678999999999995,good,0.998,46.31399999999999,good,1.0,2136
SNRNP27,111.68700000000001,weak,0.995,,,,,,,,,,40.145,weak,1.0,22.993000000000002,weak,0.98,55.946999999999996,weak,0.997,,,,40.788000000000004,weak,0.998,47.403999999999996,good,0.9940000000000001,155
SNRNP40,98.666,good,0.9740000000000001,111.421,good,0.997,,,,227.763,weak,0.998,74.268,weak,0.996,72.316,good,1.0,80.89,weak,0.945,67.705,weak,0.998,88.027,good,0.996,100.459,good,0.9990000000000001,357
SNRNP70,151.623,good,0.981,175.28799999999998,good,0.9940000000000001,,,,1012.972,weak,0.996,67.33800000000001,good,0.9840000000000001,74.237,good,0.9940000000000001,153.86,good,0.975,136.06799999999998,good,0.99,70.98899999999999,good,0.9990000000000001,74.415,good,0.998,437
SNRPA,150.605,good,0.982,202.81599999999997,weak,0.998,,,,941.813,weak,0.9470000000000001,120.589,good,0.997,94.946,good,0.9990000000000001,370.689,weak,0.8490000000000001,,,,56.16,good,1.0,65.194,good,0.9990000000000001,282
SNRPA1,193.206,good,0.978,241.757,good,0.997,2027.681,weak,0.963,1492.743,weak,0.9940000000000001,58.638999999999996,good,0.98,49.042,good,0.971,276.621,weak,0.951,206.399,good,0.976,97.81200000000001,good,0.998,122.545,good,0.996,255
SNRPB,,,,,,,,,,,,,119.82799999999999,good,0.99,110.024,good,0.983,,,,,,,,,,105.699,good,0.997,240
SNRPB2,115.031,good,0.993,118.399,weak,0.9840000000000001,372.24699999999996,weak,0.9059999999999999,248.608,weak,0.9740000000000001,52.067,good,0.992,49.163000000000004,good,0.9990000000000001,122.493,weak,0.983,92.065,weak,0.998,74.188,good,0.997,86.427,good,0.998,225
SNRPC,,,,128.313,weak,0.998,,,,,,,,,,,,,,,,,,,51.552,weak,1.0,68.545,weak,1.0,159
SNRPD1,,,,274.225,good,0.997,,,,,,,216.03799999999998,good,0.922,213.388,weak,0.9209999999999999,,,,,,,135.357,good,0.9990000000000001,163.635,good,0.9990000000000001,119
SNRPD3,129.863,good,0.996,148.593,good,0.997,459.38699999999994,weak,0.995,445.105,weak,0.997,91.584,good,0.9990000000000001,82.891,good,0.998,131.139,good,0.9840000000000001,119.56700000000001,good,0.997,91.555,good,1.0,107.64200000000001,good,0.9990000000000001,126
SNRPE,168.827,weak,0.99,185.697,weak,0.9840000000000001,,,,,,,142.469,weak,0.988,113.49799999999999,weak,0.976,173.488,weak,0.958,,,,103.427,weak,0.9990000000000001,141.688,good,1.0,92
SNRPF,,,,192.542,weak,1.0,,,,,,,,,,,,,,,,,,,,,,152.012,weak,0.9279999999999999,86
SNTB1,88.40899999999999,weak,0.961,,,,155.238,weak,0.871,122.405,good,0.9209999999999999,66.563,good,1.0,70.292,good,1.0,107.71600000000001,weak,0.9590000000000001,77.139,good,0.9279999999999999,,,,,,,538
SNTB2,,,,,,,118.82799999999999,weak,0.9159999999999999,98.87100000000001,weak,0.9229999999999999,60.483000000000004,good,0.998,58.321999999999996,good,0.996,41.105,weak,0.9740000000000001,45.427,weak,0.95,,,,,,,540
SNUPN,,,,,,,,,,,,,,,,,,,48.022,weak,0.948,,,,,,,,,,360
SNW1,52.419,good,0.993,57.658,good,0.998,97.611,good,0.968,88.12700000000001,good,0.996,28.36,good,0.945,23.671,good,0.998,33.419000000000004,good,0.988,27.534000000000002,weak,0.995,33.094,good,0.997,33.062,good,1.0,536
SNX1,60.748000000000005,good,0.996,65.78,good,0.9990000000000001,135.174,good,0.997,122.69,good,0.9990000000000001,86.666,good,0.981,104.13799999999999,weak,0.965,44.345,good,0.988,40.224000000000004,good,0.986,75.281,good,0.998,92.525,good,0.996,522
SNX12,77.42399999999999,weak,0.982,101.29,weak,0.998,,,,218.12900000000002,good,0.9940000000000001,161.513,weak,0.853,124.64200000000001,weak,0.991,63.583999999999996,good,0.992,50.135,weak,0.9840000000000001,54.865,good,1.0,68.68,good,0.9990000000000001,162
SNX15,45.687,weak,0.894,,,,,,,120.281,weak,0.8809999999999999,,,,,,,,,,,,,58.727,weak,1.0,87.575,good,0.997,342
SNX17,25.405,weak,0.9890000000000001,26.975,good,0.9990000000000001,50.323,weak,0.996,39.405,good,0.998,12.655999999999999,weak,0.857,,,,30.549,weak,0.987,19.269000000000002,weak,0.99,19.099,weak,0.9940000000000001,26.197,good,0.997,470
SNX18,113.095,weak,0.946,,,,98.524,weak,0.963,136.566,weak,0.968,,,,,,,51.419,good,0.993,51.906000000000006,good,0.982,,,,91.118,weak,0.978,628
SNX2,192.27700000000002,good,0.991,195.571,good,0.9990000000000001,243.558,weak,0.997,203.805,good,0.9990000000000001,,,,,,,85.851,good,0.995,65.889,good,0.9890000000000001,71.808,good,0.9990000000000001,87.17299999999999,good,1.0,519
SNX20,19.373,weak,0.9890000000000001,,,,35.106,weak,0.9840000000000001,25.913,weak,0.9990000000000001,,,,,,,,,,20.734,weak,0.986,,,,,,,316
SNX25,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.21,weak,0.997,840
SNX27,58.713,weak,0.98,75.178,good,0.985,142.878,weak,0.903,124.381,good,0.973,,,,123.305,weak,0.8540000000000001,91.524,good,0.9890000000000001,78.12100000000001,good,0.976,28.114,good,0.997,34.883,good,1.0,541
SNX29,40.08,good,0.968,45.975,good,0.992,,,,,,,,,,,,,30.949,good,0.997,24.39,weak,0.996,25.094,weak,0.993,39.961,good,0.998,813
SNX29P2,,,,38.201,weak,0.995,,,,,,,,,,,,,,,,,,,,,,,,,249
SNX3,69.525,good,0.9840000000000001,85.28399999999999,good,0.996,125.57600000000001,weak,0.851,112.37700000000001,weak,0.997,65.702,good,0.981,77.23100000000001,good,0.997,38.417,good,0.992,30.392,good,0.993,38.643,good,0.995,43.297,good,0.9990000000000001,162
SNX4,,,,,,,,,,86.50399999999999,weak,0.9690000000000001,107.988,weak,0.893,,,,57.865,good,0.982,48.711000000000006,good,0.996,47.435,good,0.9990000000000001,60.363,good,1.0,450
SNX5,176.118,good,0.986,203.108,good,0.995,316.268,good,0.973,206.62599999999998,weak,0.9990000000000001,,,,,,,61.761,good,0.98,52.981,good,0.98,73.14699999999999,good,0.998,98.943,good,0.982,404
SNX6,141.037,good,0.9840000000000001,170.66099999999997,good,0.993,274.98,weak,0.9940000000000001,235.283,good,0.9990000000000001,124.397,good,0.997,133.463,good,0.993,88.493,good,0.988,70.324,good,0.9840000000000001,74.742,good,0.9990000000000001,88.693,good,1.0,406
SNX8,48.648999999999994,good,0.987,60.761,good,0.998,,,,,,,,,,,,,39.863,good,0.9940000000000001,31.505,weak,0.9940000000000001,,,,60.397,weak,0.9620000000000001,465
SNX9,75.259,good,0.9940000000000001,90.696,weak,0.998,234.458,weak,0.878,173.72,weak,0.878,126.465,weak,0.971,205.021,good,0.9079999999999999,48.247,weak,0.98,36.632,weak,0.983,,,,,,,595
SOD1,210.899,good,0.9790000000000001,250.137,good,0.993,720.0160000000001,good,0.977,608.087,good,0.995,491.01599999999996,good,0.956,475.94800000000004,good,0.958,174.065,weak,0.9940000000000001,,,,76.37100000000001,good,0.997,93.087,good,0.998,154
SOD2,,,,475.87699999999995,good,0.9990000000000001,847.6569999999999,weak,0.991,465.311,good,0.978,72.494,good,1.0,70.33,good,1.0,131.266,good,0.997,120.62,good,0.961,85.383,good,0.9990000000000001,91.21799999999999,good,1.0,222
SOGA1,,,,,,,,,,,,,,,,,,,,,,,,,15.850999999999999,good,0.986,16.913,good,0.975,1423
SON,40.842,good,0.961,38.876999999999995,good,0.996,67.297,good,0.992,57.873000000000005,good,0.995,28.484,good,0.9790000000000001,25.064,good,0.99,29.78,good,0.992,20.745,good,0.9129999999999999,28.684,good,0.991,31.134,good,0.993,2426
SORD,109.581,good,0.982,146.515,good,0.9940000000000001,643.303,weak,0.96,,,,128.305,good,0.938,,,,244.52,good,0.907,155.77,good,0.9490000000000001,,,,108.23,weak,0.982,357
SORL1,16.359,good,0.932,20.893,good,0.917,28.287,good,0.958,18.128,good,0.941,17.477,good,0.983,18.608,good,0.982,15.905,good,0.87,12.843,good,0.9309999999999999,25.971,good,0.932,26.04,good,0.9590000000000001,2214
SOS1,,,,72.53699999999999,good,0.995,80.703,weak,0.9940000000000001,78.15100000000001,good,0.997,,,,,,,,,,55.132,weak,0.953,40.961999999999996,good,0.998,46.896,good,0.998,1333
SP1,60.206,weak,0.9359999999999999,,,,,,,,,,,,,23.206999999999997,weak,0.98,,,,56.46,weak,0.993,,,,,,,785
SP1,60.206,weak,0.9359999999999999,,,,,,,,,,,,,23.206999999999997,weak,0.98,,,,56.46,weak,0.993,,,,,,,189
SP100,60.57899999999999,good,0.8590000000000001,63.827,good,0.992,87.163,weak,0.992,76.417,weak,0.993,32.184,good,0.995,32.721,good,0.998,47.876999999999995,good,0.976,19.688,good,0.89,,,,,,,879
SP110,131.32,good,0.98,152.075,good,0.997,141.54,good,0.996,131.122,good,0.9990000000000001,,,,,,,90.178,weak,0.935,,,,,,,,,,689
SP140,44.147,weak,0.988,50.963,weak,0.997,,,,,,,,,,,,,,,,,,,,,,,,,867
SP140L,78.829,weak,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,580
SP2,53.293,weak,0.983,63.786,weak,0.975,,,,56.485,weak,0.976,,,,,,,,,,,,,,,,,,,613
SP3,106.883,good,0.985,,,,,,,,,,26.747,weak,0.968,23.7,weak,0.976,57.265,weak,0.986,54.258,weak,0.99,,,,,,,781
SP4,,,,,,,,,,,,,,,,,,,,,,,,,50.95,weak,0.8640000000000001,,,,784
SPAG1,,,,,,,,,,,,,,,,60.218,weak,0.996,,,,,,,,,,,,,926
SPAG7,35.842,weak,0.995,41.216,weak,0.9990000000000001,90.463,weak,0.9740000000000001,79.11399999999999,good,0.968,,,,,,,22.6,weak,0.894,18.278,weak,0.94,18.095,weak,0.99,23.974,good,0.981,227
SPAG9,60.486999999999995,good,0.9890000000000001,62.247,good,0.995,128.621,weak,0.9640000000000001,97.70200000000001,good,0.97,,,,,,,45.971000000000004,good,0.99,43.103,good,0.9890000000000001,33.07,good,0.992,41.931000000000004,good,0.98,1321
SPAST,36.863,weak,0.9179999999999999,56.961999999999996,weak,0.938,91.59700000000001,weak,0.9670000000000001,63.288999999999994,good,0.955,,,,,,,39.254,weak,0.977,35.036,weak,0.987,36.896,good,0.9990000000000001,42.993,good,0.9990000000000001,616
SPATA5,67.07300000000001,weak,0.9390000000000001,,,,,,,,,,,,,,,,,,,102.24,weak,0.958,66.51899999999999,good,0.98,67.113,good,0.9790000000000001,893
SPATA5L1,,,,,,,,,,,,,,,,,,,126.03,weak,0.9790000000000001,79.952,weak,0.8640000000000001,,,,,,,753
SPCS1,,,,,,,,,,,,,49.839,weak,0.998,52.23,good,0.998,75.551,weak,0.987,66.733,weak,0.997,43.376999999999995,weak,0.9890000000000001,49.931999999999995,weak,0.9890000000000001,169
SPCS2,127.889,good,0.992,141.637,good,0.996,248.97299999999998,good,0.996,188.305,good,0.997,163.084,good,0.98,163.638,good,0.9940000000000001,69.21300000000001,good,0.992,51.803000000000004,good,0.986,54.855,weak,0.9940000000000001,66.65,good,0.995,226
SPCS3,252.51,weak,0.9670000000000001,303.057,good,0.991,534.067,good,0.9940000000000001,420.029,weak,0.997,238.77,good,0.9740000000000001,231.69400000000002,good,0.992,89.33,weak,0.99,66.296,weak,0.995,70.256,good,0.996,81.363,good,0.992,180
SPECC1L,,,,30.183000000000003,weak,0.976,,,,,,,45.93600000000001,good,0.992,46.301,good,0.9990000000000001,,,,,,,31.741,good,0.998,40.262,good,0.9990000000000001,1117
SPEN,28.916,good,0.992,31.708000000000002,good,0.9990000000000001,43.376999999999995,weak,0.9840000000000001,30.944000000000003,good,0.94,21.781,weak,0.914,21.88,weak,0.965,26.609,good,0.99,22.662,weak,0.905,18.602999999999998,good,0.9940000000000001,18.512999999999998,good,0.992,3664
SPG11,48.123999999999995,weak,0.993,54.89,weak,0.995,,,,,,,,,,,,,52.955,weak,0.986,35.743,weak,0.95,,,,,,,2443
SPG20,19.029,weak,0.9940000000000001,,,,52.619,weak,0.998,34.271,good,0.997,,,,,,,30.345,good,0.997,25.973000000000003,weak,0.986,,,,,,,666
SPG7,,,,,,,,,,,,,57.37,good,0.9940000000000001,60.973,good,0.991,104.691,weak,0.976,73.449,weak,0.981,49.912,weak,0.9470000000000001,56.485,good,0.998,795
SPIN1,,,,61.53,weak,0.9570000000000001,57.428000000000004,weak,0.998,,,,,,,,,,,,,,,,22.77,good,0.988,23.24,good,0.991,262
SPOCK2,,,,,,,,,,,,,,,,,,,,,,,,,34.563,good,0.958,,,,424
SPRYD3,,,,30.675,weak,0.991,35.57,weak,0.997,,,,,,,,,,29.808000000000003,weak,0.991,,,,15.253,weak,0.9,12.206,weak,0.92,442
SPRYD4,221.799,weak,0.9570000000000001,,,,,,,,,,252.21,good,0.996,280.112,good,0.9990000000000001,,,,,,,65.222,weak,0.997,80.965,good,0.9940000000000001,207
SPRYD7,30.245,weak,0.997,,,,,,,,,,31.528000000000002,good,0.9890000000000001,32.834,good,0.993,,,,48.015,weak,0.956,21.546,weak,0.992,21.269000000000002,good,0.9940000000000001,196
